번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,소재지전화,도로명전체주소,도로명우편번호,사업장명,데이터갱신구분,좌표정보x(epsg5174),좌표정보y(epsg5174),업무구분명
1763,동물병원,02_03_01_P,3540000,3.54E+17,1998-06-27,,1,영업/정상,0,032-528-1359,"인천광역시 부평구 부평대로 132, 1층 102호 (부평동, 헤리움노블레스)",21358,백마동물병원,U,175351.6303,444595.4209,동물병원
1764,동물병원,02_03_01_P,3540000,3.54E+17,1999-04-14,,1,영업/정상,0,032-511-5338,인천광역시 부평구 경원대로 1422 (부평동),21404,동수동물병원,I,175792.4245,443224.2983,동물병원
1765,동물병원,02_03_01_P,3540000,3.54E+17,2002-04-11,,1,영업/정상,0,032-508-7582,"인천광역시 부평구 장제로340번길 5, 덕성빌딩 3층 (삼산동)",21323,아프리카 동물의료센터,U,176287.3698,446026.155,동물병원
1766,동물병원,02_03_01_P,3540000,3.54E+17,2006-10-16,,1,영업/정상,0,032-518-3800,인천광역시 부평구 원적로 419(산곡동),21363,조재진동물병원,U,174557.9601,444673.3409,동물병원
1767,동물병원,02_03_01_P,3540000,3.54E+17,2004-02-14,,1,영업/정상,0,032-517-0075,인천광역시 부평구 마장로432번길 3 (청천동),21312,청천종합동물병원,U,173809.1913,446087.724,동물병원
1768,동물병원,02_03_01_P,3540000,3.54E+17,2005-03-21,,1,영업/정상,0,032-330-0075,인천광역시 부평구 체육관로 40 (삼산동),21344,삼산종합동물병원,U,176600.1194,445146.3673,동물병원
1769,동물병원,02_03_01_P,3540000,3.54E+17,2005-08-12,,1,영업/정상,0,032-203-8984,"인천광역시 부평구 동수천로 124, 103~104호 (부개동)",21398,사랑동물병원,I,176683.745,443851.5473,동물병원
1770,동물병원,02_03_01_P,3540000,3.54E+17,2006-12-11,,1,영업/정상,0,032-511-5515,"인천광역시 부평구 평천로 356 (갈산동, 민상빌딩)",21330,짱구네동물병원,U,176034.2041,446186.519,동물병원
1771,동물병원,02_03_01_P,3540000,3.54E+17,2007-02-22,,1,영업/정상,0,032-524-0075,인천광역시 부평구 경원대로 1355 (부평동),21389,도그앤캣동물병원,I,175119.9247,443280.557,동물병원
1772,동물병원,02_03_01_P,3540000,3.54E+17,2007-04-16,,1,영업/정상,0,032-508-7571,인천광역시 부평구 굴포로 42 (갈산동),21335,서울종합동물병원,I,175684.4636,445522.5856,동물병원
1773,동물병원,02_03_01_P,3540000,3.54E+17,2007-11-12,,1,영업/정상,0,032-270-2727,"인천광역시 부평구 마장로 489, 2층 2113~2114호 (청천동, 아이즈빌아울렛)",21302,튼튼동물병원,I,173718.6048,446665.0644,동물병원
1774,동물병원,02_03_01_P,3540000,3.54E+17,2008-07-29,,1,영업/정상,0,344-5554,"인천광역시 부평구 경인로 887, 203호 (부평동, 롯데아이원)",21408,동수사랑동물병원,I,175049.6681,442663.2247,동물병원
1775,동물병원,02_03_01_P,3540000,3.54E+17,2008-09-02,,1,영업/정상,0,032-504-7582,인천광역시 부평구 부흥로 367 (부평동),21353,쥬라기동물종합병원,U,176312.6689,444033.8138,동물병원
1776,동물병원,02_03_01_P,3540000,3.54E+17,2009-05-14,,1,영업/정상,0,507-0075,"인천광역시 부평구 후정동로 60, 107호 (삼산동)",21318,늘푸른동물병원,U,176809.8946,446751.5892,동물병원
1777,동물병원,02_03_01_P,3540000,3.54E+17,2009-06-17,,1,영업/정상,0,507-1110,"인천광역시 부평구 부평북로 446, 101호 (삼산동, 우리빌딩)",21319,리치동물병원,U,177212.9852,446637.1338,동물병원
1778,동물병원,02_03_01_P,3540000,3.54E+17,2010-03-03,,1,영업/정상,0,032-521-0003,"인천광역시 부평구 마장로 256, 102호 (산곡동)",21376,펫사랑동물병원,U,173688.4679,444312.6985,동물병원
1779,동물병원,02_03_01_P,3540000,3.54E+17,2016-06-27,,1,영업/정상,0,032-724-8575,"인천광역시 부평구 길주로647번길 4, 102~104호 (삼산동, 프리엘림)",21344,반디동물병원,U,176476.0846,445031.7292,동물병원
1780,동물병원,02_03_01_P,3540000,3.54E+17,2017-02-02,,1,영업/정상,0,032-521-6578,"인천광역시 부평구 경원대로 1286, 101,201호 (부평동, 부평메디아나센터)",21405,현대동물병원,I,174450.8715,443175.2544,동물병원
1781,동물병원,02_03_01_P,3540000,3.54E+17,2017-04-05,,1,영업/정상,0,032-505-7262,"인천광역시 부평구 경인로 1069, 1층 (부개동)",21415,주주종합동물병원,I,176841.3746,442772.5118,동물병원
1782,동물병원,02_03_01_P,3540000,3.54E+17,2017-05-02,,1,영업/정상,0,032-511-6836,"인천광역시 부평구 부평대로 138, 204-2, 205-2, 206-210호 (부평동)",21358,부평종합동물의료센터,U,175349.4941,444655.6328,동물병원
1783,동물병원,02_03_01_P,3540000,3.54E+17,2016-05-04,,1,영업/정상,0,032-715-7587,"인천광역시 부평구 경원대로 1442, 호진빌딩 1, 2층 (부평동)",21404,부평프라임동물병원,U,175966.454,443211.1004,동물병원
1784,동물병원,02_03_01_P,3540000,3.54E+17,2017-11-30,,1,영업/정상,0,032-710-7533,"인천광역시 부평구 부흥로 351, 3층 (부평동)",21353,부평24시 SKY 동물의료센터,U,176166.1839,444072.471,동물병원
1785,동물병원,02_03_01_P,5380000,5.38E+17,2011-01-29,,1,영업/정상,0,055-366-9777,"경상남도 양산시 삽량로 193, 비젼플라자 102호 (중부동)",50629,친친 동물병원,U,384298.6394,205859.6048,동물병원
1786,동물병원,02_03_01_P,4641000,4.641E+17,2017-03-22,,1,영업/정상,0,063-275-7979,전북특별자치도 전주시 덕진구 송천중앙로 213 (송천동1가),54830,24시 올리몰스 동물메디컬센터,U,210872.3971,262878.7369,동물병원
1787,동물병원,02_03_01_P,4671000,4.671E+17,2023-09-06,,1,영업/정상,0,,전북특별자치도 군산시 대야면 만자로 28,54061,미소 동물병원,I,182624.8711,271672.6644,동물병원
1788,동물병원,02_03_01_P,4641000,4.641E+17,2017-11-08,,1,영업/정상,0,063-245-7975,전북특별자치도 전주시 완산구 중화산로 100 (중화산동2가),54973,코끼리 동물병원,I,210620.6591,257697.3556,동물병원
1789,동물병원,02_03_01_P,4641000,4.641E+17,2018-05-21,,1,영업/정상,0,063-232-5900,"전북특별자치도 전주시 완산구 모악로 4691, 1층 (평화동2가)",55135,하루동물병원,U,211709.6428,254264.3258,동물병원
1790,동물병원,02_03_01_P,4641000,4.641E+17,2018-07-06,,1,영업/정상,0,,"전북특별자치도 전주시 덕진구 쪽구름2길 8, 1층 (여의동2가)",54847,사랑플러스 동물병원,I,206799.963,263707.8596,동물병원
1791,동물병원,02_03_01_P,4641000,4.641E+17,2018-07-27,,1,영업/정상,0,063-901-7582,전북특별자치도 전주시 덕진구 벚꽃로 21 (진북동),54938,사라 양한방 동물병원,U,211862.8883,258762.4901,동물병원
1792,동물병원,02_03_01_P,4641000,4.641E+17,2003-02-28,,1,영업/정상,0,063-241-7275,"전북특별자치도 전주시 덕진구 동부대로 841, 1층 (호성동1가)",54903,바른 동물병원,I,213615.0798,262410.6163,동물병원
1793,동물병원,02_03_01_P,4641000,4.641E+17,1997-06-24,,1,영업/정상,0,063-253-5677,"전북특별자치도 전주시 덕진구 송천중앙로 17, 1층 (덕진동2가)",54840,하나 동물병원,U,210636.0775,260970.163,동물병원
1794,동물병원,02_03_01_P,4641000,4.641E+17,2019-03-20,,1,영업/정상,0,063-251-7975,"전북특별자치도 전주시 덕진구 세병로 41, B104호 (송천동2가, 에코시티 데시앙 4블럭)",55148,에코동물병원,U,211705.6602,263756.2476,동물병원
1795,동물병원,02_03_01_P,4641000,4.641E+17,2019-05-27,,1,영업/정상,0,063-276-3939,"전북특별자치도 전주시 덕진구 백석로 18, 103호 (송천동2가)",55151,자스민 동물병원,I,212237.5195,263435.9979,동물병원
1796,동물병원,02_03_01_P,4641000,4.641E+17,2021-03-09,,1,영업/정상,0,,"전북특별자치도 전주시 완산구 모악로 4769, 2층 1호 (평화동1가)",55134,24시 코끼리동물의료센터,I,211871.3093,255014.453,동물병원
1797,동물병원,02_03_01_P,4641000,4.641E+17,2021-04-05,,1,영업/정상,0,063-273-5575,"전북특별자치도 전주시 덕진구 만성중앙로 25, 미네르바빌딩 1층 101,102,103호 (만성동)",54860,아이들 동물병원,I,206671.9305,260430.2437,동물병원
1798,동물병원,02_03_01_P,4671000,4.671E+17,1994-03-04,,1,영업/정상,0,063-446-4572,"전북특별자치도 군산시 미원로 132-3 (장재동, 금강종합동물병원)",54039,금강동물병원,U,174591.3385,275535.7361,동물병원
1799,동물병원,02_03_01_P,4671000,4.671E+17,2001-03-07,,1,영업/정상,0,063-466-8886,전북특별자치도 군산시 공단대로 429 (나운동),54142,스마일동물병원,I,172384.9374,273601.3417,동물병원
1800,동물병원,02_03_01_P,4671000,4.671E+17,2002-05-02,,1,영업/정상,0,063-446-6688,"전북특별자치도 군산시 월명로 211, 군산수송동우체국 1층 (수송동)",54101,가족동물병원,I,174236.04,273661.415,동물병원
1801,동물병원,02_03_01_P,4671000,4.671E+17,2012-09-03,,1,영업/정상,0,063-442-7531,전북특별자치도 군산시 구암3.1로 137 (경암동),54032,쿨펫동물병원(이마트군산점),I,176003.9902,275855.7237,동물병원
1802,동물병원,02_03_01_P,4671000,4.671E+17,2016-05-25,,1,영업/정상,0,468-7975,전북특별자치도 군산시 문화로 86 (수송동),54089,더사랑 동물병원,U,174221.2411,274389.0068,동물병원
1803,동물병원,02_03_01_P,4671000,4.671E+17,2017-06-07,,1,영업/정상,0,634526700,"전북특별자치도 군산시 수송로 291, 2층 (미장동)",54085,도담동물병원,U,175356.71,273819.675,동물병원
1804,동물병원,02_03_01_P,4671000,4.671E+17,1994-12-20,,1,영업/정상,0,442-1593,"전북특별자치도 군산시 중앙로 56 (장재동, 해동가축병원약품)",54039,해동가축병원,I,174713.6283,275502.6329,동물병원
1805,동물병원,02_03_01_P,4671000,4.671E+17,2019-12-12,,1,영업/정상,0,,"전북특별자치도 군산시 월명로 509-3, 103호 (월명동)",54023,한일동물병원,I,173383.0482,276143.5834,동물병원
1806,동물병원,02_03_01_P,4671000,4.671E+17,2019-12-16,,1,영업/정상,0,,"전북특별자치도 군산시 월명로 509-3, 102호 (월명동)",54023,누리동물병원,I,173383.0482,276143.5834,동물병원
1807,동물병원,02_03_01_P,4641000,4.641E+17,2002-04-17,,1,영업/정상,0,063-227-4975,전북특별자치도 전주시 완산구 거마평로 86 (삼천동1가),55084,프렌즈동물병원,I,210509.9355,255554.5709,동물병원
1808,동물병원,02_03_01_P,4671000,4.671E+17,1978-12-13,,1,영업/정상,0,063-445-2544,"전북특별자치도 군산시 중앙로 61 (장재동, 연합가축병원)",54039,연합동물병원,I,174651.5458,275510.753,동물병원
1809,동물병원,02_03_01_P,4671000,4.671E+17,1990-12-03,,1,영업/정상,0,063451-2163,전북특별자치도 군산시 대야면 대야시장로 9-1 (군옥동물병원),54060,군옥동물병원,I,183343.8419,271648.5244,동물병원
1810,동물병원,02_03_01_P,4671000,4.671E+17,2003-01-11,,1,영업/정상,0,063-466-8711,전북특별자치도 군산시 팔마로 154-1 (동흥남동),54083,푸른동물병원,U,174521.8425,274840.2376,동물병원
1811,동물병원,02_03_01_P,4671000,4.671E+17,2022-05-10,,1,영업/정상,0,,"전북특별자치도 군산시 백릉로 151, 더테라스 205호 (조촌동)",54072,오션동물병원,I,176744.591,275094.1054,동물병원
1812,동물병원,02_03_01_P,4641000,4.641E+17,1998-03-04,,1,영업/정상,0,063-231-2455,전북특별자치도 전주시 완산구 기린대로 139 (경원동3가),55000,동부 동물병원,I,213671.9476,257885.4141,동물병원
1813,동물병원,02_03_01_P,4641000,4.641E+17,1998-03-21,,1,영업/정상,0,063-240-2888,전북특별자치도 전주시 덕진구 동부대로 769 (호성동1가),54905,전주김제완주축협 부속동물병원,U,214050.8122,261847.1047,동물병원
1814,동물병원,02_03_01_P,4641000,4.641E+17,1999-03-17,,1,영업/정상,0,063-251-1015,전북특별자치도 전주시 덕진구 시천로 26 (송천동1가),,21세기 동물병원,I,210309.5213,262378.0389,동물병원
1815,동물병원,02_03_01_P,4641000,4.641E+17,2000-01-14,,1,영업/정상,0,063-244-0090,전북특별자치도 전주시 덕진구 건산로 243 (인후동1가),,행복한 동물병원,I,214709.3765,259423.5897,동물병원
1816,동물병원,02_03_01_P,4641000,4.641E+17,1992-03-18,,1,영업/정상,0,063-211-2662,전북특별자치도 전주시 덕진구 쪽구름로 71-2 (반월동),54850,푸른 동물병원,I,206804.1572,263515.2143,동물병원
1817,동물병원,02_03_01_P,4641000,4.641E+17,1992-07-08,,1,영업/정상,0,063-284-7774,전북특별자치도 전주시 완산구 전주천서로 111 (서서학동),55099,박영재 동물병원,U,213414.5129,256682.4108,동물병원
1818,동물병원,02_03_01_P,4641000,4.641E+17,1992-10-09,,1,영업/정상,0,063-228-5311,"전북특별자치도 전주시 완산구 서원로 294, 마리앤스튜디오 (중화산동2가)",55049,나음동물메디컬센터,U,211358.9184,256841.2741,동물병원
1819,동물병원,02_03_01_P,4641000,4.641E+17,1993-05-10,,1,영업/정상,0,063-224-6672,전북특별자치도 전주시 완산구 백제대로 121 (효자동1가),,효자 동물병원,U,211110.2379,255972.1213,동물병원
1820,동물병원,02_03_01_P,4641000,4.641E+17,2016-12-23,,1,영업/정상,0,063-229-5333,전북특별자치도 전주시 덕진구 기지로 72 (중동),54871,혁신동물병원,I,205345.4503,259774.9404,동물병원
1821,동물병원,02_03_01_P,6520000,6.52E+17,1975-05-16,,1,영업/정상,0,064-787-2345,"제주특별자치도 서귀포시 표선면 표선관정로 113-5, 표선가축병원",63629,표선가축병원,U,184296.2556,-19133.8703,동물병원
1822,동물병원,02_03_01_P,6520000,6.52E+17,1994-07-01,,1,영업/정상,0,064-732-8762,제주특별자치도 서귀포시 동문로 29 (서귀동),63590,서울동물병원,U,159301.5842,-27119.19473,동물병원
1823,동물병원,02_03_01_P,6520000,6.52E+17,1996-04-27,,1,영업/정상,0,064-782-1175,제주특별자치도 서귀포시 성산읍 서성일로 1241,63640,동아동물병원,U,191659.3349,-5464.740514,동물병원
1824,동물병원,02_03_01_P,6520000,6.52E+17,2012-04-10,,1,영업/정상,0,064-787-0582,제주특별자치도 서귀포시 표선면 일주동로6496번길 2,63626,다산동물병원,U,179245.0705,-20898.84432,동물병원
1825,동물병원,02_03_01_P,5180000,5.18E+17,2018-10-10,,1,영업/정상,0,,"경상북도 영덕군 영덕읍 영덕로 52, 1층",36441,엘 동물의료센터,U,412520.2064,326156.8872,동물병원
1826,동물병원,02_03_01_P,6520000,6.52E+17,2016-04-06,,1,영업/정상,0,064-738-7975,제주특별자치도 서귀포시 일주동로 9117 (법환동),63572,정든동물병원,U,155079.7182,-27554.20829,동물병원
1827,동물병원,02_03_01_P,6520000,6.52E+17,2015-10-01,,1,영업/정상,0,064-733-1471,제주특별자치도 서귀포시 일주동로 8532 (동홍동),63587,서귀포시축협동물병원,U,160489.6509,-26680.49169,동물병원
1828,동물병원,02_03_01_P,6520000,6.52E+17,2001-03-16,,1,영업/정상,0,064-762-0243,"제주특별자치도 서귀포시 동문로 40, 태흥장식 (서귀동)",63591,조은동물병원,U,159377.9886,-27212.98094,동물병원
1829,동물병원,02_03_01_P,6520000,6.52E+17,1995-05-31,,1,영업/정상,0,064-733-8250,"제주특별자치도 서귀포시 동홍로90번길 2, 현대동물병원 (동홍동)",63588,현대동물병원,U,159706.6915,-26542.16433,동물병원
1830,동물병원,02_03_01_P,6520000,6.52E+17,2016-11-10,,1,영업/정상,0,,제주특별자치도 서귀포시 하신상로 174-12 (신효동),63605,현클리닉,U,163597.377,-24619.71778,동물병원
1831,동물병원,02_03_01_P,6520000,6.52E+17,2016-12-07,,1,영업/정상,0,064-712-2215,제주특별자치도 서귀포시 안덕면 사계북로 17-16,63528,케어팜동물병원,U,133793.0807,-29048.4845,동물병원
1832,동물병원,02_03_01_P,6520000,6.52E+17,2016-12-27,,1,영업/정상,0,064-733-0079,제주특별자치도 서귀포시 일주동로 8621 (동홍동),63589,캣츠앤독스 동물병원,U,159594.3104,-26773.79019,동물병원
1833,동물병원,02_03_01_P,6510000,6.51E+17,2003-03-31,,1,영업/정상,0,756-4204,제주특별자치도 제주시 동문로 41 (일도일동),63278,제주축산업협동조합 동물병원,U,156346.9059,1967.479653,동물병원
1834,동물병원,02_03_01_P,6510000,6.51E+17,2003-05-12,,1,영업/정상,0,,제주특별자치도 제주시 구좌읍 세화경마루길 14-14,63352,교래 말 전문병원,U,185449.8389,551.8020322,동물병원
1835,동물병원,02_03_01_P,6510000,6.51E+17,2003-09-09,,1,영업/정상,0,796-7111,제주특별자치도 제주시 한림읍 금악로 25,63019,제일동물병원,U,134462.2578,-14983.10923,동물병원
1836,동물병원,02_03_01_P,6520000,6.52E+17,2005-09-07,,1,영업/정상,0,064-794-7571,"제주특별자치도 서귀포시 대정읍 최남단해안로29번길 22, 가람동물병원",63513,가람동물병원,U,130265.2235,-30484.01635,동물병원
1837,동물병원,02_03_01_P,5530000,5.53E+17,2024-01-12,,1,영업/정상,0,,"경기도 화성시 향남읍 상신하길로135번길 9-15, 101호",18617,전동물병원,U,190860.6686,400429.3115,동물병원
1838,동물병원,02_03_01_P,5530000,5.53E+17,2024-01-12,,1,영업/정상,0,031-227-3175,"경기도 화성시 봉담읍 상리중심상가길 28-8, 망고타운 203, 204, 205호",18309,24시 봉담동물의료센터,U,195145.7967,413818.0985,동물병원
1839,동물병원,02_03_01_P,6510000,6.51E+17,2008-10-27,,1,영업/정상,0,,제주특별자치도 제주시 일주동로 38 (화북이동),63295,서원동물병원,U,158242.7569,1876.707868,동물병원
1840,동물병원,02_03_01_P,6510000,6.51E+17,2008-11-12,,1,영업/정상,0,064-725-5106,"제주특별자치도 제주시 애월읍 광령남4길 14, 2층",63062,웰빙동물병원,U,146722.5208,-5097.25511,동물병원
1841,동물병원,02_03_01_P,6510000,6.51E+17,2002-01-28,,1,영업/정상,0,743-7585,"제주특별자치도 제주시 한림읍 산록남로 53, 성이시돌피정의집",63021,우리동물병원(산업),U,136768.4356,-16480.68649,동물병원
1842,동물병원,02_03_01_P,6510000,6.51E+17,1979-11-28,,1,영업/정상,0,799-3022,제주특별자치도 제주시 한림읍 한림로12길 19,63030,이의종동물병원,U,131736.4074,-8749.72527,동물병원
1843,동물병원,02_03_01_P,6510000,6.51E+17,1992-03-10,,1,영업/정상,0,753-0880,제주특별자치도 제주시 고마로 37 (일도이동),63252,한라동물종합병원,U,157097.0223,1699.518431,동물병원
1844,동물병원,02_03_01_P,6510000,6.51E+17,1994-06-11,,1,영업/정상,0,744-1030,제주특별자치도 제주시 노연로 141 (연동),63123,동심동물병원,U,153013.4833,-1052.04618,동물병원
1845,동물병원,02_03_01_P,6510000,6.51E+17,1994-06-21,,1,영업/정상,0,758-2013,"제주특별자치도 제주시 서광로 293, 태안빌딩 (이도일동)",63198,푸른동물병원,U,156041.5635,570.150958,동물병원
1846,동물병원,02_03_01_P,6510000,6.51E+17,1995-10-20,,1,영업/정상,0,754-3381,"제주특별자치도 제주시 제주대학로 102, 제주대학교 (아라일동)",63243,제주대학교 수의과대학 부설동물병원,U,159225.9364,-4535.170953,동물병원
1847,동물병원,02_03_01_P,6510000,6.51E+17,1995-12-13,,1,영업/정상,0,744-2992,제주특별자치도 제주시 과원북4길 7 (노형동),63086,신제주동물병원,U,151845.8625,-1549.165925,동물병원
1848,동물병원,02_03_01_P,6510000,6.51E+17,2005-02-02,,1,영업/정상,0,,제주특별자치도 제주시 구좌읍 해맞이해안로 1076-1,63359,제주자연동물병원,U,184620.7437,4847.42807,동물병원
1849,동물병원,02_03_01_P,6510000,6.51E+17,2005-08-30,,1,영업/정상,0,721-0654,제주특별자치도 제주시 아봉로 759 (봉개동),63313,한서동물병원,U,161944.8983,-489.6994269,동물병원
1850,동물병원,02_03_01_P,6510000,6.51E+17,2006-04-10,,1,영업/정상,0,702-1275,제주특별자치도 제주시 서사로 148-1 (삼도일동),63185,서사라동물병원,U,155285.6107,406.5713751,동물병원
1851,동물병원,02_03_01_P,6510000,6.51E+17,2006-01-31,,1,영업/정상,0,,제주특별자치도 제주시 한림읍 금악북로 257,63021,이호동물병원,U,136239.3206,-15609.88744,동물병원
1852,동물병원,02_03_01_P,6510000,6.51E+17,2006-07-12,,1,영업/정상,0,796-4451,제주특별자치도 제주시 한림읍 금악로 41,63019,유성동물병원,U,134565.4338,-14825.11255,동물병원
1853,동물병원,02_03_01_P,6510000,6.51E+17,2018-04-16,,1,영업/정상,0,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),63312,제주특별자치도 동물위생시험소 (동물보호센터) 동물병원,U,161739.7356,-4459.855161,동물병원
1854,동물병원,02_03_01_P,6510000,6.51E+17,2018-06-15,,1,영업/정상,0,,"제주특별자치도 제주시 해안마을8길 1, 1층 (해안동)",63077,피그랑동물병원,U,149218.329,-4494.735638,동물병원
1855,동물병원,02_03_01_P,6510000,6.51E+17,2002-05-03,,1,영업/정상,0,749-7582,제주특별자치도 제주시 성신로 15 (연동),63127,중앙동물병원,U,152086.9563,-463.3604584,동물병원
1856,동물병원,02_03_01_P,6510000,6.51E+17,2003-09-20,,1,영업/정상,0,724-7582,,,영인동물병원,I,156860.6167,166.9770335,동물병원
1857,동물병원,02_03_01_P,6510000,6.51E+17,2003-06-13,,1,영업/정상,0,742-1868,제주특별자치도 제주시 한라대학로 75 (노형동),63089,해맑은동물병원,U,151440.4316,-2083.754184,동물병원
1858,동물병원,02_03_01_P,6510000,6.51E+17,1999-07-12,,1,영업/정상,0,722-3375,제주특별자치도 제주시 연삼로 518 (일도이동),63260,이소영동물병원,U,157625.375,598.7838238,동물병원
1859,동물병원,02_03_01_P,6510000,6.51E+17,2008-10-08,,1,영업/정상,0,786-8341,"제주특별자치도 제주시 애월읍 평화로 2144, 한국마사회제주경마본부",63066,KRA 렛츠런파크제주 동물병원,U,143984.5131,-9698.166686,동물병원
1860,동물병원,02_03_01_P,6510000,6.51E+17,1998-05-14,,1,영업/정상,0,064)757-7577,제주특별자치도 제주시 동광로 119 (일도이동),63273,다나동물병원,U,157137.5236,1270.273992,동물병원
1861,동물병원,02_03_01_P,6510000,6.51E+17,2005-06-20,,1,영업/정상,0,742-7425,"제주특별자치도 제주시 정든로3길 12, 제이소소 지하층 102호 (이도이동)",63225,행복한동물병원,U,157352.1227,263.2114882,동물병원
1862,동물병원,02_03_01_P,6510000,6.51E+17,2003-12-05,,1,영업/정상,0,723-2005,제주특별자치도 제주시 중앙로 106 (삼도이동),63170,강남동물병원,U,155647.099,1482.748098,동물병원
1863,동물병원,02_03_01_P,6510000,6.51E+17,2001-07-09,,1,영업/정상,0,064-759-8275,제주특별자치도 제주시 일주동로 185 (화북일동),63292,송동물병원,U,159537.787,2594.865417,동물병원
1864,동물병원,02_03_01_P,6510000,6.51E+17,2008-10-08,,1,영업/정상,0,780-0141,제주특별자치도 제주시 조천읍 남조로 1660 (한국마사회 제주육성목장),63346,한국마사회 제주육성목장 동물병원,U,170292.4611,-8634.987309,동물병원
1865,동물병원,02_03_01_P,6510000,6.51E+17,1999-04-27,,1,영업/정상,0,744-7582,제주특별자치도 제주시 연신로 85 (이도이동),63228,해밀동물병원,I,158022.1902,-144.2993207,동물병원
1866,동물병원,02_03_01_P,6510000,6.51E+17,2008-06-04,,1,영업/정상,0,064-796-4451,"제주특별자치도 제주시 한림읍 한림로 655, 1층",63032,한수풀동물병원,U,131370.9431,-8855.766697,동물병원
1867,동물병원,02_03_01_P,4671000,4.671E+17,2005-05-10,,1,영업/정상,0,063-464-7582,"전북특별자치도 군산시 나운2길 27, 1층 103호 (나운동)",54140,해맑은 동물병원,U,173136.8871,273927.9963,동물병원
1868,동물병원,02_03_01_P,4671000,4.671E+17,2007-02-23,,1,영업/정상,0,461-5079,전북특별자치도 군산시 진포로 73 (미장동),54085,군산24시 제일동물병원,U,175529.8798,274026.847,동물병원
1869,동물병원,02_03_01_P,4671000,4.671E+17,2008-07-24,,1,영업/정상,0,,전북특별자치도 군산시 대야면 만자로 24,54061,KP 양계연구소,I,182645.3881,271673.1618,동물병원
1870,동물병원,02_03_01_P,4671000,4.671E+17,2011-11-04,,1,영업/정상,0,063-463-5575,"전북특별자치도 군산시 수송로 208 (수송동, 형진빌딩)",54100,수송반려동물병원,I,174514.3335,273751.434,동물병원
1871,동물병원,02_03_01_P,3780000,3.78E+17,2024-01-12,,1,영업/정상,0,3180397753,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 201호 (창곡동)",13640,위례 바른 동물의료센터,U,212552.6041,441182.8135,동물병원
1872,동물병원,02_03_01_P,3180000,3.18E+17,2019-07-18,,1,영업/정상,0,02-2677-2720,"서울특별시 영등포구 선유로 76, 동국메뜨리앙 206호 (문래동3가)",7294,캣앤캣 고양이 병원,U,190199.2294,446496.8653,동물병원
1873,동물병원,02_03_01_P,3100000,3.1E+17,2019-08-21,,1,영업/정상,0,02-931-1333,서울특별시 노원구 동일로 1333 (상계동),1767,브이아이피 동물의료센터,U,205431.1635,460607.7241,동물병원
1874,동물병원,02_03_01_P,3530000,3.53E+17,2019-07-04,,1,영업/정상,0,428-0275,"인천광역시 남동구 남동대로370번길 113, 101호 (논현동)",21636,조은동물병원,U,174438.2333,434679.601,동물병원
1875,동물병원,02_03_01_P,3780000,3.78E+17,2019-07-12,,1,영업/정상,0,031-605-0190,"경기도 성남시 분당구 백현로101번길 11, 동현프라자 205호 (수내동)",13595,이레외과동물병원,U,209845.8328,430563.6717,동물병원
1876,동물병원,02_03_01_P,3560000,3.56E+17,2019-08-30,,1,영업/정상,0,7107553,"인천광역시 서구 승학로 551, 동곡프라자 108호 (검암동)",22704,이오동물병원,I,171726.9548,451641.2609,동물병원
1877,동물병원,02_03_01_P,3910000,3.91E+17,2019-08-30,,1,영업/정상,0,031-663-4987,"경기도 평택시 고덕국제3길 122, 1층 (고덕동)",18014,아임동물병원,U,204174.3357,394424.345,동물병원
1878,동물병원,02_03_01_P,3210000,3.21E+17,2019-09-07,,1,영업/정상,0,02-3474-7582,"서울특별시 서초구 효령로 347, 서광빌딩 1층 (서초동)",6643,서초이음동물병원,I,201876.1475,442741.652,동물병원
1879,동물병원,02_03_01_P,4570000,4.57E+17,2021-01-04,,1,영업/정상,0,,충청남도 부여군 부여읍 나성로 83,33140,수동물병원,U,191592.87,309101.444,동물병원
1880,동물병원,02_03_01_P,5310000,5.31E+17,2019-10-14,,1,영업/정상,0,,경상남도 진주시 남강로1239번길 11 (상평동),52801,경남수의동물병원(출장진료전문병원),U,302402.9486,186490.3678,동물병원
1881,동물병원,02_03_01_P,3620000,3.62E+17,2019-12-16,,1,영업/정상,0,062-419-2020,"광주광역시 북구 용봉로 18, 1층 (신안동)",61220,동물병원 다움,U,190701.4873,185810.9109,동물병원
1882,동물병원,02_03_01_P,4050000,5.64E+17,2019-12-10,,1,영업/정상,0,031-216-0133,"경기도 용인시 수지구 광교호수로378번길 4-6, 1층 (상현동)",16940,마루한동물병원,U,207036.9232,421768.8705,동물병원
1883,동물병원,02_03_01_P,4080000,4.08E+17,2019-12-09,,1,영업/정상,0,,경기도 안성시 중앙로419번길 6 (영동),17590,행복한동물병원,I,224270.2149,389517.697,동물병원
1884,동물병원,02_03_01_P,3140000,3.14E+17,2019-12-05,,1,영업/정상,0,02-2690-7579,"서울특별시 양천구 지양로 7, 인산빌딩 1층 (신월동)",8044,해맞이 동물병원,I,185585.9902,446145.0947,동물병원
1885,동물병원,02_03_01_P,5370000,5.37E+17,2019-12-31,,1,영업/정상,0,055-635-7682,경상남도 거제시 고현로 107 (고현동),53251,우리들동물병원,U,348417.0714,155515.3631,동물병원
